path,size_bytes,sha256
data/drylab/dssp/pdb/dssp_chunk_00023.parquet,8447,a2b86469036eb08eaeb0e1dbd4f75b6fc50bdc042b5f819f1385342179d9a181
data/drylab/dssp/pdb/dssp_chunk_00024.parquet,5601,7a4cc05a6ac52b47b10e4275b3f04cd516207b9e9df2e856809a951ce4b3363d
data/drylab/dssp/pdb/dssp_chunk_00025.parquet,7065,d7e412605eb0685a616d78ea4d5dfa8800e6d865304bbede14ee1b87b2c624d6
data/drylab/dssp/pdb/dssp_chunk_00026.parquet,11150,5eb9862e203608b804b5efea791e5f28fa31601f25f9f06fdc30e58eb7edd991
data/drylab/dssp/pdb/dssp_chunk_00027.parquet,11092,401c72d43db761cfbce44b4d1cf71d19c3a4c49f359fbb03e1a3c5400e2c7c1a
data/drylab/dssp/pdb/dssp_chunk_00028.parquet,12426,612618eaef44b8425d1138fd4fdaf7c2996e2bd4cda73ff436b2ee83f83195bf
data/drylab/dssp/pdb/dssp_chunk_00029.parquet,7124,cf6e770ad39090976ee381fca851f22a36fe73910f5b24e0fcf858fb11fca704
data/drylab/dssp/pdb/dssp_chunk_00030.parquet,4875,7d7855a353efbbd51bd34349885a557a2118653283e3866229bd0ad6395d38f6
data/drylab/dssp/pdb/dssp_chunk_00031.parquet,600,9371a201c1c7bafed0918c8e3ed77541088611fb5762c105d6ffeadbf6e30ad9
data/drylab/dssp/pdb/dssp_chunk_00032.parquet,600,9371a201c1c7bafed0918c8e3ed77541088611fb5762c105d6ffeadbf6e30ad9
data/drylab/dssp/pdb/dssp_chunk_00033.parquet,5086,a19aa0219f0912e7dd7d6c8b2872ca4ea4e64e7bca03ca78a2485ca64df3f49b
data/drylab/dssp/pdb/dssp_chunk_00034.parquet,4499,debae3118fc7165bcef08b7876e7d6553bdc9b3ebf8376578810105efc41c8ad
data/drylab/dssp/pdb/dssp_chunk_00035.parquet,5692,508d824aa7ab48ff3b28c8a624f9aaf93cd1717f5a643846f52d4e5105fa23db
data/drylab/dssp/pdb/dssp_chunk_00036.parquet,5389,2031d8cccf44441087310c8a30e249e9a107a04012ef461d1c4e4b4a13aa9706
data/drylab/dssp/pdb/dssp_chunk_00037.parquet,8356,e05757561d86b232b8fae8d74e7c459a8a7b68e28189dc67b51e9648023b4288
data/drylab/dssp/pdb/dssp_chunk_00038.parquet,14082,3233c141a1f926062bb7ba4b79cab603a37377a2c53ce4fd3717790d8da37a53
data/drylab/dssp/pdb/dssp_chunk_00039.parquet,10604,fdee506a079b0912c76d989469b27f60b1a1aa66ca38f0c2d736e4775776048c
data/drylab/dssp/pdb/dssp_chunk_00040.parquet,14216,723d6b217689a24732dbf39b114bdaa23e98e34e2e1c227a4d3a83f6213ac307
data/drylab/dssp/pdb/dssp_chunk_00041.parquet,11157,5256f23147ef6bf645ae8b481da1c4ed346d01937356e4891c93142b2f7c01d1
data/drylab/dssp/pdb/dssp_chunk_00042.parquet,14468,d01790fe0ba3f7fb84506fd250ef1a74cb485109fc6c3a994f69959695610d34
data/drylab/dssp/pdb/dssp_chunk_00043.parquet,15968,a38ef9622a5e4920901384f4c5a79a64eb34e1a7e5bf8b02aadd4ebe04b49b02
data/drylab/dssp/pdb/dssp_chunk_00044.parquet,16081,b00fb1a37b2c73cef135a8ef376e4a16c50dd5cd92720c75499ea19edb62bfdb
data/drylab/dssp/pdb/dssp_chunk_00045.parquet,15963,55bb4161341530a4fb73d4737acd95b99be86926386c52f887e3da3baf491ce7
data/drylab/dssp/pdb/dssp_chunk_00046.parquet,16552,b007862648cd201468786d299c38619d5f5ca3f1fceae81953935ca7388e93c5
data/drylab/dssp/pdb/dssp_chunk_00047.parquet,16062,091fad224735c88b55267b3f4e671fce423277fc03cf1620afb8973fdb5728b6
data/drylab/dssp/pdb/dssp_chunk_00048.parquet,15464,d0f031e06a4dd510b4c475e43359262746f7546fc51a55c29126aa5b985d685a
data/drylab/dssp/pdb/dssp_chunk_00049.parquet,15879,ef1c443365f7c79769d5b91c8164e3c105c9a92ae581dc624e648bdc6cc6b073
data/drylab/dssp/pdb/dssp_chunk_00050.parquet,14112,6ecb7369b58acc9407e7bb5e41b74b6312461858a59e361f76c07cc995ba25ae
data/drylab/dssp/pdb/dssp_chunk_00051.parquet,14398,ed297afd0b00a9f64d5a4d2c79fe00402be477c49aa070c3dd2ede20fec07477
data/drylab/dssp/pdb/dssp_chunk_00052.parquet,15062,1db00cba8eb76824647e4add1bf638611c1af61ae11eba9b330b5dbdc9d88f7b
data/drylab/dssp/pdb/dssp_chunk_00053.parquet,14954,7589bb37c828bd5e6bd3858d80cc7f16da9fb74cef9f9af6ef8da03d09c6485c
data/drylab/dssp/pdb/dssp_chunk_00054.parquet,15551,6689072d46989fa8bd3a98da577c29676ac838bbb5ca7e2dab804ba0df6dba4e
data/drylab/dssp/pdb/dssp_chunk_00055.parquet,14505,e4ae82c53b0e1d57bc08a753ff6758fb1b5791de59c3a9dc12bffc8493d51a54
data/drylab/dssp/pdb/dssp_chunk_00056.parquet,15759,43115c4016a3e8cfe4ed3012858e26878d3711b1f8b27eea2a369aac05a9b06d
data/drylab/dssp/pdb/dssp_chunk_00057.parquet,14706,4777138ced71497e8ee0a57825a3f1ff51de93ceffc96a228ba036b95493d3b1
data/drylab/dssp/pdb/dssp_chunk_00058.parquet,13778,a9aedc915d1b9516058f31847270e68f6daa682b4314f81d1df68489a42dcd76
data/drylab/dssp/pdb/dssp_chunk_00059.parquet,14279,f7a6ebe5ac0ca90941c6e61cf3aeff62edf5fab353f0194797841481a1f6143b
data/drylab/dssp/pdb/dssp_chunk_00060.parquet,14205,ffd83498253f3c5d25f012db02c73320e746ef555cd1663f4b5deed8b6d72a56
data/drylab/dssp/pdb/dssp_chunk_00061.parquet,13947,bc03257f31f5095e8158a36a471acbe4b4d55dfad6e51b60a858f96649754434
data/drylab/dssp/pdb/dssp_chunk_00062.parquet,12869,61392e987393d980acabaffa007c4f27455b953b06b905a7d3776777ff7de6ec
data/drylab/dssp/pdb/dssp_chunk_00063.parquet,12469,f36f7538f932dbee3955678decff939a2d82685fd072c09b41f2282062f4c094
data/drylab/dssp/pdb/dssp_chunk_00064.parquet,12196,406b7963a91b0aa46314990a33f9e5c8246f1bfe3b7a33d38e8abf9dd7b3ee29
data/drylab/dssp/pdb/dssp_chunk_00065.parquet,6619,c174f56e589758292939e28ea7b12a1a1fb4bb56221c1df6ba5c876cc300039d
data/drylab/dssp/pdb/dssp_chunk_00066.parquet,9496,f9c238d9269419b8213b46e197abc94c44b76312c46982daad65494ad4a1b4e4
data/drylab/dssp/pdb/dssp_chunk_00067.parquet,9858,b5a174851579043210538b7632a92c5aa735d6d6bc3e08e6641c131fdbb2cdc2
data/drylab/dssp/pdb/dssp_chunk_00068.parquet,13999,1a75f15505e0015e546cf8d5d30960e453a65f535629e5932445583423ae18ad
data/drylab/dssp/pdb/dssp_chunk_00069.parquet,12434,a0d29b456ec53d2a672b082399b5268f26c7e90728883e3602fc1dcc52af07ca
data/drylab/dssp/pdb/dssp_chunk_00070.parquet,13245,30980dd1a5dfcc2bcf038b5e2d0f9b2bd366615a214f226a4d3d17df98bc150c
data/drylab/dssp/pdb/dssp_chunk_00071.parquet,13816,1041eab940c455a18d6accbdb1c6efbeaccffaab71bdb7efb46ed583a6f572e3
data/drylab/dssp/pdb/dssp_chunk_00072.parquet,12524,88b6b1760c1306518cfe541225be8a2478502609514b1a8859288fd0d31fee9d
data/drylab/dssp/pdb/dssp_chunk_00073.parquet,13125,b1ce6ecfd5ca04a624735fa5f208aa0c0de0e1480d3223ef0baaa09f2fa2492a
data/drylab/dssp/pdb/dssp_chunk_00074.parquet,13909,e224b0679d15c783d0d1194ac2e340ec320d58d9d4e0b6b6af8f339941a3e685
data/drylab/dssp/pdb/dssp_chunk_00075.parquet,12996,ab82e83c640d18f20ab975f9e0fde11cefdf576a903e2593f11b08b661ea50a0
data/drylab/dssp/pdb/dssp_chunk_00076.parquet,12552,dcb995547dec493754dc5f7e845ea67f3af8ed75deb6382109bf8d2767d42545
data/drylab/dssp/pdb/dssp_chunk_00077.parquet,13328,32cfcafca2e9e96aa3a76bd24845a9e220397ca1458c0b2b24b9114c2d7e6992
